SN_EOR_FK,GEO_MARKER_NAME,TOP_MD
-115000,Rob L-10,15045.0
-115000,Rob L-11,15690.0
-115000,Rob M,15930.0
-115000,Gyro 1,19708.0
-115000,Operc 1,17074.0
-115115,J-2 Sand,
-115090,B7a  Sand,9907.0
-115090,B7d Sand,10308.0
-128844,B7a Sand,9907.0
-128844,B7D Sand,10308.0
-141742,B7a Sand,9907.0
-141742,B7D Sand,10308.0
-142477,B7a Sand,9907.0
-142477,B7d Sand,10308.0
-142477,B7c Sand,10077.0
-118372,Bul 1 J Sand,
-118372,Lower Kn Sand,15312.0
-142117,Lower Kn Sand,15312.0
-142117,Bul 1 J Sand,
-142117,Upper Bul 1Kn Sand,15080.0
-169833,Upper Bul 1 KN Sand,15090.0
-169833,Bul 1 KF Sand,14764.0
-203031,Bul 1 KA Sand,14187.0
-169833,Lower Bul 1 KN Sand,15149.0
-117098,F30 Sand,9570.0
-117098,F45 Sand,9865.0
-115172,Top of Salt,11389.0
-115172,Base of Salt,19689.0
-115172,M3 SB,23437.0
-115172,M6 SB,24966.0
-115172,M8 SB,27370.0
-115172,M7,26298.0
-115172,M9,28384.0
-115172,M10,28480.0
-133933,Top of Salt,11389.0
-133933,Base of Salt,19689.0
-133933,M3 SB,23437.0
-133933,M6 SB,24966.0
-133933,M7,26298.0
-133933,M8 SB,27370.0
-133933,M9,28384.0
-133933,M10,28480.0
-115262,G-16 Sand,10150.0
-115262,H-10 Sand,10674.0
-115262,I-8 Sand,
-191895,G-16 Sand,10150.0
-191895,H-10 Sand,10674.0
-191895,I-8 Sand,
-115283,D-7 Sand,
-115283,D-10 Sand,
-140879,D-10 Sand                   ,14027.0
-140879,D-7 Sand                     ,12605.0
-115519,G Sand,8126.0
-115519,G-1 Sand,8360.0
-115553,"Angulogernina ""B"" Mid Pleistocene",5250.0
-115553,"Lenticulina ""1"" Top Lower Pliestocene",7165.0
-115553,"Cristellaria ""N"" Top Pliocene",7822.0
-147846,"Lenticulina ""1"" Top Lower Pliestocene",7165.0
-147846,"Cristellaria ""N"" Top Pliocene",7822.0
-147846,"Angulogernina ""B"" Mid Pleistocene",5250.0
-115554,PLB3 Sand,
-115554,C-2 Sand,8685.0
-115554,D Sand,9355.0
-116323,M-89A,12250.0
-116323,M-89B,12385.0
-116323,M-89C,12522.0
-116323,M-89E,12800.0
-116323,M-84A,13025.0
-116323,M-56U,17913.0
-116323,M-56L,18154.0
-116323,M-55,18580.0
-116666,T2 Lower Sand,15386.0
-139004,T2 Sand,15386.0
-116021,LP-2 Sand,4850.0
-116021,LP-3 Sand,5305.0
-116021,Big A Sand,5550.0
-116897,LP-1G,5450.0
-116897,TX-1,
-116897,BA-3,
-116897,BA-4,
-116897,LP-2,5515.0
