Reference,Number of ships involved,Ships involved,SOLAS status,Flag Administrations,Ship types,Occurrence date and time,Casualty event,Casualty severity,Coordinates,Place,Location,Number of investigation reports,Administrations submitting investigation reports
"C0007275","1","OPPAMA SPIRIT","OPPAMA SPIRIT: ","Bahamas","","1993-05-13 09:30","","Marine casualty","","Gove","","1","Unknown"
"C0001009","1","SAMICK NORDIC","SAMICK NORDIC: ","Republic of Korea","Bulk Dry","1993-05-13 00:00","","Marine incident","","","","0",""
"C0001008","1","CLELIA","CLELIA: ","Panama","General Cargo","1993-05-10 00:00","","Marine incident","","","","0",""
"C0001007","1","WESTERN GLORY","WESTERN GLORY: ","Saint Vincent and the Grenadines","General Cargo","1993-05-06 00:00","","Marine incident","","","","0",""
"C0001006","2","GREEB LEAF, XIANG YANG HONG 16","GREEB LEAF: , XIANG YANG HONG 16: ","Unknown, China","Research, Research","1993-05-02 00:00","","Marine incident","","","","0",""
"C0007493","1","BERLIN EXPRESS (IMO 8704183)","BERLIN EXPRESS (IMO 8704183): ","Germany","Container","1993-05-02 00:00","","Marine casualty","","Port Phillip Bay","","1","Australia"
"C0001005","2","APACHE, BIRTE WEHR","APACHE: , BIRTE WEHR: ","Germany, Unknown","Chemical Tanker, Chemical Tanker","1993-05-01 00:00","","Marine incident","","","","0",""
"C0001004","1","BAGHEERA","BAGHEERA: ","Malta","General Cargo","1993-04-29 00:00","","Marine incident","","","","0",""
"C0001003","1","AMAZONAS","AMAZONAS: ","Brazil","Oil Tanker","1993-04-28 00:00","","Marine incident","","","","0",""
"C0007259","1","MALINSKA","MALINSKA: ","Malta","","1993-04-25 18:20","","Marine casualty","","Off Groote Eylandt","","1","Unknown"
"C0001002","1","BALTIK","BALTIK: ","Saint Vincent and the Grenadines","General Cargo","1993-04-23 00:00","","Marine incident","","","","0",""
"C0001001","1","KURNIA DEWI","KURNIA DEWI: ","Panama","General Cargo","1993-04-20 00:00","","Marine incident","","","","0",""
"C0001000","1","ATLAS","ATLAS: ","Philippines","Bulk Dry","1993-04-17 00:00","","Marine incident","","","","0",""
"C0000999","1","RIO RAPEL","RIO RAPEL: ","Honduras","General Cargo","1993-04-13 00:00","","Marine incident","","","","0",""
"C0000998","1","SAM BO NO.11","SAM BO NO.11: ","Republic of Korea","Non-ship structures","1993-04-12 00:00","","Marine incident","","","","0",""
"C0000996","1","VISHWA MOHINI","VISHWA MOHINI: ","India","General Cargo","1993-04-12 00:00","","Marine incident","","","","0",""
"C0000995","1","SERREKUNDA NO.3","SERREKUNDA NO.3: ","Panama","Fish Catching","1993-04-09 00:00","","Marine incident","","","","0",""
"C0000994","1","YUSHO NO.3","YUSHO NO.3: ","Panama","General Cargo","1993-04-08 00:00","","Marine incident","","","","0",""
"C0000997","1","XIAN REN","XIAN REN: ","Saint Vincent and the Grenadines","General Cargo","1993-03-24 00:00","","Marine incident","","","","0",""
"C0000993","1","SU RONG","SU RONG: ","Saint Vincent and the Grenadines","General Cargo","1993-03-21 00:00","","Marine incident","","","","0",""
"C0007343","1","JU JU","JU JU: ","Canada","Fish Catching","1993-03-19 10:48","","Very serious marine casualty","51° 48.00' N 128° 24.00' W","Strait of Queen, British Columbia","","1","Unknown"
"C0000992","1","SHIOKAZE","SHIOKAZE: ","Panama","Chemical Tanker","1993-03-19 00:00","","Marine incident","","","","0",""
"C0000991","1","GOLD BOND CONVEYOR","GOLD BOND CONVEYOR: ","Liberia","Bulk Dry","1993-03-15 00:00","","Very serious marine casualty","","","","1","Liberia"
"C0000990","1","FANTASTICO","FANTASTICO: ","Honduras","General Cargo","1993-03-13 00:00","","Marine incident","","","","0",""
"C0000987","1","UNIFORCE","UNIFORCE: ","Saint Vincent and the Grenadines","General Cargo","1993-03-01 00:00","","Marine incident","","","","0",""
"C0000988","1","OCEAN PRINCESS","OCEAN PRINCESS: ","Bahamas","Passenger","1993-03-01 00:00","","Marine incident","","","","0",""
"C0000989","1","NORIENT","NORIENT: ","Panama","General Cargo","1993-03-01 00:00","","Marine incident","","","","0",""
"C0000985","2","MING HO, NEW HAILONG","MING HO: , NEW HAILONG: ","Panama, Unknown","General Cargo, General Cargo","1993-02-27 00:00","","Marine incident","","","","0",""
"C0000986","1","ISLA DE LA GOMERA","ISLA DE LA GOMERA: ","Spain","Passenger/Ro-Ro Cargo","1993-02-27 00:00","","Marine incident","","","","0",""
"C0000984","1","HAM 308","HAM 308: ","Netherlands (Kingdom of)","Non-ship structures","1993-02-25 00:00","","Marine incident","","","","0",""
"C0000983","2","RYONAN MARU, ZHONG SHAN MEN","RYONAN MARU: , ZHONG SHAN MEN: ","Japan, Unknown","Other Bulk Dry, Other Bulk Dry","1993-02-23 00:00","","Marine incident","","","","0",""
"C0000982","1","GIDARA","GIDARA: ","Malta","General Cargo","1993-02-22 00:00","","Marine incident","","","","0",""
"C0000981","1","AKRITAS","AKRITAS: ","Greece","Bulk Dry","1993-02-20 00:00","","Marine incident","","","","0",""
"C0000980","1","TAE WOONG","TAE WOONG: ","Republic of Korea","Other Fishing","1993-02-18 00:00","","Marine incident","","","","0",""
"C0000979","1","VAST OCEAN","VAST OCEAN: ","Panama","General Cargo","1993-02-15 00:00","","Marine incident","","","","0",""
"C0000978","1","BETTINA DANICA","BETTINA DANICA: ","DIS (Denmark)","Other Dry Cargo","1993-02-13 00:00","","Marine incident","","","","0",""
"C0007293","1","QUEEN OF BURNABY (IMO 6510148)","QUEEN OF BURNABY (IMO 6510148): ","Canada","","1993-02-05 13:55","","Marine incident","","Tsawwassen Terminal, British Columbia","","1","Unknown"
"C0000976","1","PROSPERITY","PROSPERITY: ","Panama","General Cargo","1993-02-03 00:00","","Marine incident","","","","0",""
"C0000977","1","RHINO","RHINO: ","Malta","General Cargo","1993-02-03 00:00","","Marine incident","","","","0",""
"C0000975","1","EKMAN","EKMAN: ","Panama","General Cargo","1993-02-01 00:00","","Marine incident","","","","0",""
"C0007340","1","CAPE ASPY","CAPE ASPY: ","Canada","","1993-01-30 23:30","","Very serious marine casualty","42° 28.60' N 65° 58.20' W","Côte Sud-Ouest de la Nouvelle-Ecosse","","1","Unknown"
"C0000973","1","BETHESDA 2","BETHESDA 2: ","Honduras","General Cargo","1993-01-30 00:00","","Marine incident","","","","0",""
"C0000974","1","LUCKY FORTUNE","LUCKY FORTUNE: ","Honduras","General Cargo","1993-01-30 00:00","","Marine incident","","","","0",""
"C0000971","1","BO SEONG NO.11","BO SEONG NO.11: ","Republic of Korea","Other Fishing","1993-01-27 00:00","","Marine incident","","","","0",""
"C0000972","1","SKALISTYY BEREG","SKALISTYY BEREG: ","Russian Federation","Refrigerated Cargo","1993-01-27 00:00","","Marine incident","","","","0",""
"C0000970","1","NORDHOPE","NORDHOPE: ","Liberia","General Cargo","1993-01-26 00:00","","Marine incident","","","","0",""
"C0000968","1","ADI PERTIWI","ADI PERTIWI: ","Indonesia","General Cargo","1993-01-23 00:00","","Marine incident","","","","0",""
"C0000969","1","ARMADA PERTIWI","ARMADA PERTIWI: ","India","General Cargo","1993-01-23 00:00","","Marine incident","","","","0",""
"C0000966","2","MAERSK NAVIGATOR, SANKO HONOUR","MAERSK NAVIGATOR: , SANKO HONOUR: ","Singapore, Unknown","Oil Tanker, Oil Tanker","1993-01-21 03:07","","Very serious marine casualty","","","","1","Singapore"
"C0000967","1","MARINE HAWK","MARINE HAWK: ","Panama","General Cargo","1993-01-21 00:00","","Marine incident","","","","0",""
"C0000964","1","GCC 700","GCC 700: ","United States","Non-ship structures","1993-01-16 03:30","","Very serious marine casualty","","","","0",""
"C0000965","1","KIHNU","KIHNU: ","Estonia","Oil Tanker","1993-01-16 00:00","","Marine incident","","","","0",""
"C0000963","1","ACAMAR","ACAMAR: ","Panama","General Cargo","1993-01-15 00:00","","Marine incident","","","","0",""
"C0003734","1","JAN HEWELIUSZ (IMO 7527904)","JAN HEWELIUSZ (IMO 7527904): ","Poland","Non-ship structures","1993-01-14 00:00","","Very serious marine casualty","","Baltic Sea","","1","Poland"
"C0000962","1","EISEI MARU","EISEI MARU: ","Japan","Chemical Tanker","1993-01-13 00:00","","Marine incident","","","","0",""
"C0000961","1","BRAER (OUTSIDE SELECTED PERIOD OF REFERENCE)","BRAER (OUTSIDE SELECTED PERIOD OF REFERENCE): ","Liberia","Oil Tanker","1993-01-05 00:00","","Marine incident","","","","1","Unknown"
"C0000959","1","EXCELSIOR NEPTUNE","EXCELSIOR NEPTUNE: ","China","Passenger","1993-01-01 00:00","","Marine incident","","","","0",""
"C0000960","1","EXCELSIOR NEPTUNE","EXCELSIOR NEPTUNE: ","Honduras","Passenger","1993-01-01 00:00","","Marine incident","","","","0",""
"C0007334","1","TITAN","TITAN: ","Unknown","","1992-12-25 22:50","","Very serious marine casualty","","Off Smoky Cape, NSW","","1","Unknown"
"C0000958","1","DUVAL 2","DUVAL 2: ","United States","Non-ship structures","1992-12-22 00:00","","Marine incident","","","","0",""
"C0000957","1","SINDIBAD I","SINDIBAD I: ","Panama","Passenger/Ro-Ro Cargo","1992-12-20 00:00","","Marine incident","","","","0",""
"C0000956","1","SIAU","SIAU: ","Panama","General Cargo","1992-12-18 00:00","","Marine incident","","","","0",""
"C0000955","1","ALMIRANTE ALVARO ALBERTO","ALMIRANTE ALVARO ALBERTO: ","Brazil","Research","1992-12-17 00:00","","Marine incident","","","","0",""
"C0000954","1","FROTANORTE","FROTANORTE: ","Brazil","Bulk Dry","1992-12-11 00:00","","Marine incident","","","","0",""
"C0000953","1","TIMAC","TIMAC: ","France","Dredging","1992-12-09 00:00","","Marine incident","","","","0",""
"C0000952","1","FORT KENT","FORT KENT: ","Canada","General Cargo","1992-12-07 00:00","","Marine incident","","","","0",""
"C0000950","1","CHUNG HO","CHUNG HO: ","Panama","General Cargo","1992-12-04 00:00","","Marine incident","","","","0",""
"C0000951","1","ZEUSPLEIN","ZEUSPLEIN: ","Vanuatu","General Cargo","1992-12-04 00:00","","Marine incident","","","","0",""
"C0002574","2","FAR EAST (IMO 8102086), RONDA LENE","FAR EAST (IMO 8102086): , RONDA LENE: ","Bahamas, Australia","General Cargo, Fish Catching","1992-12-03 02:44","","Marine incident","","","","1","Australia"
"C0000949","1","AEGEAN SEA","AEGEAN SEA: ","Greece","Bulk Dry / Oil","1992-12-03 00:00","","Marine incident","","","","0",""
"C0007315","1","WYUNA","WYUNA: ","Unknown","","1992-12-01 02:44","","Marine casualty","","Off North-West Flinders Island","","1","Unknown"
"C0000947","1","INDIANA","INDIANA: ","Bahamas","Oil Tanker","1992-11-27 00:00","","Marine incident","","","","1","Singapore"
"C0000948","1","MADONNA","MADONNA: ","Panama","General Cargo","1992-11-27 00:00","","Marine incident","","","","0",""
"C0000944","1","GEORGIA K","GEORGIA K: ","Honduras","General Cargo","1992-11-26 00:00","","Marine incident","","","","0",""
"C0000945","1","FROTA HUMAITA","FROTA HUMAITA: ","Brazil","General Cargo","1992-11-26 00:00","","Marine incident","","","","0",""
"C0000946","1","VISHWA AMBAR","VISHWA AMBAR: ","India","General Cargo","1992-11-26 00:00","","Marine incident","","","","0",""
"C0000943","1","ATLANTIC TRADER","ATLANTIC TRADER: ","United States","General Cargo","1992-11-25 07:00","","Marine casualty","","","","0",""
"C0000941","1","CHARM","CHARM: ","DIS (Denmark)","General Cargo","1992-11-24 00:00","","Marine incident","","","","0",""
"C0000942","1","KOMMUNIST","KOMMUNIST: ","Russian Federation","Other Fishing","1992-11-24 00:00","","Marine incident","","","","0",""
"C0007283","1","PIERRE LD","PIERRE LD: ","France","","1992-11-21 20:50","","Marine casualty","","Dampier","","1","Unknown"
"C0000939","1","BYBLOS","BYBLOS: ","Honduras","General Cargo","1992-11-17 00:00","","Marine incident","","","","0",""
"C0000940","1","CEMMO","CEMMO: ","Malta","Other Bulk Dry","1992-11-17 00:00","","Marine incident","","","","0",""
"C0000938","1","SOFRANO","SOFRANO: ","Malta","Bulk Dry","1992-11-14 00:00","","Marine incident","","","","0",""
"C0000937","1","CALAO REEFER","CALAO REEFER: ","Panama","General Cargo","1992-11-11 00:00","","Marine incident","","","","0",""
"C0000936","1","PEGASUS","PEGASUS: ","Panama","Bulk Dry","1992-11-09 00:00","","Marine incident","","","","0",""
"C0007236","1","AUSTRALIAN ACHIEVER","AUSTRALIAN ACHIEVER: ","Australia","","1992-11-08 01:15","","Marine casualty","","New Zealand","","1","Australia"
"C0000891","1","NATIONAL STAR","NATIONAL STAR: ","Egypt","General Cargo","1992-11-07 00:00","","Marine incident","","","","0",""
"C0000890","1","CASTELLO","CASTELLO: ","Italy","Oil Tanker","1992-10-30 00:00","","Marine incident","","","","0",""
"C0000933","1","GINA III","GINA III: ","Panama","General Cargo","1992-10-26 00:00","","Marine incident","","","","0",""
"C0000932","1","RICHER","RICHER: ","Panama","General Cargo","1992-10-23 00:00","","Marine incident","","","","0",""
"C0000935","1","DAEYANG HONEY","DAEYANG HONEY: ","Republic of Korea","Bulk Dry","1992-10-22 00:00","","Very serious marine casualty","","","","1","Australia"
"C0000931","1","DIVINE SEMBILAN","DIVINE SEMBILAN: ","Panama","General Cargo","1992-10-19 00:00","","Marine incident","","","","0",""
"C0000934","1","NEPTUNE","NEPTUNE: ","Republic of Korea","General Cargo","1992-10-18 00:00","","Marine incident","","","","0",""
"C0000930","1","ATUN V","ATUN V: ","Mexico","Fish Catching","1992-10-15 00:00","","Marine incident","","","","0",""
"C0000929","1","BANOWATI","BANOWATI: ","Indonesia","General Cargo","1992-10-07 00:00","","Marine incident","","","","0",""
"C0000927","1","EDITH","EDITH: ","Antigua and Barbuda","General Cargo","1992-10-06 00:00","","Marine incident","","","","0",""
"C0000928","1","IONION","IONION: ","Greece","Passenger/Ro-Ro Cargo","1992-10-06 00:00","","Marine incident","","","","0",""
"C0000926","1","HOLSTEN","HOLSTEN: ","Honduras","General Cargo","1992-10-02 00:00","","Marine incident","","","","0",""
"C0000925","1","MANDIRI","MANDIRI: ","Panama","General Cargo","1992-09-30 00:00","","Marine incident","","","","0",""
"C0000924","1","K. GLORY","K. GLORY: ","Panama","Oil Tanker","1992-09-29 00:00","","Marine incident","","","","0",""
"C0000923","2","NAGASAKI SPIRIT, OCEAN BLESSING","NAGASAKI SPIRIT: , OCEAN BLESSING: ","Liberia, Unknown","Oil Tanker, Oil Tanker","1992-09-26 00:00","","Very serious marine casualty","","","","1","Liberia"
"C0000922","1","NEW OCEAN","NEW OCEAN: ","Panama","General Cargo","1992-09-21 00:00","","Marine incident","","","","0",""
"C0000921","1","BRIOLETTE","BRIOLETTE: ","Liberia","Bulk Dry / Oil","1992-09-20 00:00","","Marine incident","","","","0",""
"C0000920","1","OCEAN BLESSING","OCEAN BLESSING: ","Panama","Container","1992-09-19 00:00","","Marine incident","","","","0",""
"C0001631","1","SANTA CHRISTINA","SANTA CHRISTINA: ","NIS (Norway)","Passenger/Ro-Ro Cargo","1992-09-14 00:00","","Marine incident","","","","0",""
"C0001629","1","HO JIH","HO JIH: ","Panama","General Cargo","1992-09-05 00:00","","Marine incident","","","","0",""
"C0001630","1","TOONG MNAW","TOONG MNAW: ","Panama","General Cargo","1992-09-05 00:00","","Marine incident","","","","0",""
"C0007397","1","LE PERROQUET DE MER","LE PERROQUET DE MER: ","Canada","Passenger","1992-09-04 21:15","","Marine incident","","Lower North Shore","","0",""
"C0007503","1","CHAMPERS","CHAMPERS: ","Australia","","1992-09-01 18:30","","Marine casualty","24° 00.00' S 152° 06.00' E","Off Bustard Head","","1","Australia"
"C0001628","1","COMPASS ROSE","COMPASS ROSE: ","Marshall Islands","Bulk Dry / Oil","1992-08-30 00:00","","Marine incident","","","","0",""
"C0001627","1","PORTAL 202","PORTAL 202: ","United States","Other Activities","1992-08-29 00:00","","Marine incident","","","","0",""
"C0007266","1","NAND ANANT","NAND ANANT: ","India","","1992-08-29 00:00","","Marine incident","46° 36.00' N 125° 42.00' W","Off Île de Vancouver (Colombie Britanique)","","1","Unknown"
"C0001626","1","MARLIN NO. 3","MARLIN NO. 3: ","United States","Other Activities","1992-08-27 00:00","","Marine incident","","","","0",""
"C0001625","1","ROYAL PACIFIC","ROYAL PACIFIC: ","Bahamas","Passenger","1992-08-23 02:15","","Very serious marine casualty","","","","1","Bahamas"
"C0001624","1","SEA REEFER","SEA REEFER: ","Antigua and Barbuda","General Cargo","1992-08-22 00:00","","Marine incident","","","","0",""
"C0007289","1","QUEEN OF SIDNEY (IMO 5288011)","QUEEN OF SIDNEY (IMO 5288011): ","Canada","","1992-08-14 00:00","","Marine incident","","Westview Terminal, Power River, British columbia","","1","Unknown"
"C0007291","1","QUEEN OF  NEW WESTMINSTER","QUEEN OF  NEW WESTMINSTER: ","Canada","","1992-08-13 08:09","","Very serious marine casualty","","Departure Bay, British Columbia","","1","Unknown"
"C0001622","1","NERETVA","NERETVA: ","Croatia","General Cargo","1992-08-13 00:00","","Marine incident","","","","0",""
"C0001623","1","PACIFIC SUNRISE","PACIFIC SUNRISE: ","Singapore","Oil Tanker","1992-08-13 00:00","","Marine incident","","","","0",""
"C0007279","1","WALDERO","WALDERO: ","Canada","","1992-08-09 04:45","","Very serious marine casualty","","Strait of Johnstone, British Columbia","","1","Unknown"
"C0001621","1","BORBURATA","BORBURATA: ","Venezuela (Bolivarian Republic of)","Oil Tanker","1992-08-03 00:00","","Marine incident","","","","0",""
"C0001619","1","QUIBERON","QUIBERON: ","France","Passenger/Ro-Ro Cargo","1992-07-17 00:00","","Marine incident","","","","0",""
"C0001620","1","RADWAN","RADWAN: ","Cyprus","Oil Tanker","1992-07-17 00:00","","Marine incident","","","","0",""
"C0001618","1","PAN OCEAN","PAN OCEAN: ","Panama","General Cargo","1992-07-09 00:00","","Marine incident","","","","0",""
"C0001617","1","YELLOW FIN","YELLOW FIN: ","Liberia","Oil Tanker","1992-07-03 00:00","","Marine incident","","","","0",""
"C0001616","1","NAND HARI","NAND HARI: ","India","Oil Tanker","1992-07-02 15:20","","Very serious marine casualty","","","","1","India"
"C0001614","1","GLOBAL LING","GLOBAL LING: ","Liberia","Bulk Dry / Oil","1992-06-30 00:00","","Marine incident","","","","0",""
"C0001615","1","LIN JIANG","LIN JIANG: ","China","Container","1992-06-30 00:00","","Marine incident","","","","0",""
"C0007481","1","RYAN ATLANTIC (IMO 6413259)","RYAN ATLANTIC (IMO 6413259): ","Canada","Fish Catching","1992-06-26 05:50","","Marine casualty","","Off Cape Negro","","1","Canada"
"C0001613","1","MAZIN","MAZIN: ","Saudi Arabia","Oil Tanker","1992-06-23 00:00","","Marine incident","","","","0",""
"C0001612","1","CHOONG KONG III","CHOONG KONG III: ","Singapore","Oil Tanker","1992-06-20 00:00","","Marine incident","","","","0",""
"C0001611","1","YUJIN BUSAN","YUJIN BUSAN: ","Panama","Oil Tanker","1992-06-16 00:00","","Marine incident","","","","0",""
"C0001610","1","FELIX","FELIX: ","Romania","General Cargo","1992-06-14 00:00","","Marine incident","","","","0",""
"C0001609","1","ATLANTIC EXPRESS","ATLANTIC EXPRESS: ","Malta","General Cargo","1992-06-12 00:00","","Marine incident","","","","0",""
"C0001608","1","VERONICA","VERONICA: ","Ireland","Other Fishing","1992-06-08 00:00","","Marine incident","","","","0",""
"C0001607","1","FLYING FALCON","FLYING FALCON: ","Malta","Bulk Dry","1992-06-06 00:00","","Marine incident","","","","0",""
"C0001605","1","JEH HUN","JEH HUN: ","Republic of Korea","Bulk Dry","1992-06-05 00:00","","Marine incident","","","","0",""
"C0001606","1","VIGOUR MARINER","VIGOUR MARINER: ","Belize","Container","1992-06-05 00:00","","Marine incident","","","","0",""
"C0007423","1","GRAND FLEUVE","GRAND FLEUVE: ","Canada","","1992-06-04 18:05","","Marine casualty","","Rivière-du-Loup, Quebec","","1","Canada"
"C0001604","1","GREAT EAGLE","GREAT EAGLE: ","Panama","Bulk Dry","1992-05-31 00:00","","Marine incident","","","","0",""
"C0001603","1","ISTANBUL","ISTANBUL: ","Türkiye","Passenger/Ro-Ro Cargo","1992-05-29 00:00","","Marine incident","","","","0",""
"C0001602","1","DIMI","DIMI: ","Malta","Bulk Dry","1992-05-23 00:00","","Marine incident","","","","0",""
"C0001601","1","HORNWIND","HORNWIND: ","Liberia","General Cargo","1992-05-14 00:00","","Marine incident","","","","0",""
"C0001600","1","LADY SKY","LADY SKY: ","Cyprus","Bulk Dry / Oil","1992-05-13 00:00","","Marine incident","","","","0",""
"C0001599","1","GEROI CHERNOMORYA","GEROI CHERNOMORYA: ","Russian Federation","Oil Tanker","1992-05-03 00:00","","Marine incident","","","","0",""
"C0001598","1","AFTHOROS","AFTHOROS: ","Malta","Bulk Dry / Oil","1992-05-01 00:00","","Marine incident","","","","0",""
"C0001596","1","INCHON GLORY","INCHON GLORY: ","Greece","Container","1992-04-29 00:00","","Marine incident","","","","0",""
"C0001597","1","MERTKAN","MERTKAN: ","Türkiye","General Cargo","1992-04-29 00:00","","Marine incident","","","","0",""
"C0000771","1","KAIYO MARU","KAIYO MARU: ","Japan","Bulk Dry","1992-04-24 00:00","","Very serious marine casualty","","","","1","Japan"
"C0000772","1","MASON LYKES","MASON LYKES: ","United States","Container","1992-04-24 00:00","","Marine incident","","","","0",""
"C0000770","1","SEKI ROLETTE","SEKI ROLETTE: ","Panama","General Cargo","1992-04-23 00:00","","Marine incident","","","","0",""
"C0001595","1","SEASTAR","SEASTAR: ","Liberia","Oil Tanker","1992-04-20 00:00","","Marine incident","","","","0",""
"C0001594","1","WORLD HITACHI ZOSEN","WORLD HITACHI ZOSEN: ","Panama","Oil Tanker","1992-04-18 00:00","","Marine incident","","","","0",""
"C0001592","1","KATINA P","KATINA P: ","Malta","Oil Tanker","1992-04-16 00:00","","Marine incident","","","","0",""
"C0001593","1","PSKOV","PSKOV: ","Russian Federation","General Cargo","1992-04-16 00:00","","Marine incident","","","","0",""
"C0001591","1","SEATANK","SEATANK: ","Malta","Oil Tanker","1992-04-14 00:00","","Marine incident","","","","0",""
"C0001590","1","TOULOUR","TOULOUR: ","Indonesia","General Cargo","1992-04-09 00:00","","Marine incident","","","","0",""
"C0001589","1","HAVMANN","HAVMANN: ","Norway","Liquefied Gas","1992-04-06 00:00","","Marine incident","","","","0",""
"C0001588","1","MENKAR","MENKAR: ","Panama","General Cargo","1992-04-04 00:00","","Marine incident","","","","0",""
"C0007642","1","LONGEVITY","LONGEVITY: ","Philippines","","1992-04-02 00:00","","Marine casualty","","East Coast Australia","","1","Australia"
"C0001586","1","KARADENIZ S","KARADENIZ S: ","Türkiye","Bulk Dry / Oil","1992-03-30 00:00","","Marine incident","","","","0",""
"C0001587","1","PENELOPE I","PENELOPE I: ","Panama","General Cargo","1992-03-30 00:00","","Marine incident","","","","0",""
"C0007309","1","SEAROAD MERSEY (IMO 8914831)","SEAROAD MERSEY (IMO 8914831): ","Australia","","1992-03-26 16:31","","Very serious marine casualty","","Melbourne","","1","Unknown"
"C0001585","1","CHAMLONG","CHAMLONG: ","Saint Vincent and the Grenadines","General Cargo","1992-03-22 00:00","","Marine incident","","","","0",""
"C0001583","1","MASTER TOR","MASTER TOR: ","Norway","Other Fishing","1992-03-20 00:00","","Marine incident","","","","0",""
"C0001584","1","SU RONG","SU RONG: ","Saint Vincent and the Grenadines","General Cargo","1992-03-20 00:00","","Marine incident","","","","0",""
"C0001580","1","GOLDEN FOUNTAIN","GOLDEN FOUNTAIN: ","Panama","Bulk Dry","1992-03-18 00:00","","Marine incident","","","","0",""
"C0001581","1","SKRIM","SKRIM: ","Panama","Bulk Dry / Oil","1992-03-18 00:00","","Marine incident","","","","0",""
"C0001582","1","HARVEST ARIES","HARVEST ARIES: ","South Africa","Fish Catching","1992-03-18 00:00","","Marine incident","","","","0",""
"C0001579","1","ONIBE","ONIBE: ","Madagascar","General Cargo","1992-03-16 00:00","","Marine incident","","","","0",""
"C0001578","1","GOLDEN CAMIA","GOLDEN CAMIA: ","Philippines","General Cargo","1992-03-14 00:00","","Marine incident","","","","0",""
"C0007294","1","QUEEN OF ALBERNI (IMO 7414080)","QUEEN OF ALBERNI (IMO 7414080): ","Canada","","1992-03-12 08:08","","Marine casualty","","Strait of Georgia, British Columbia","","1","Unknown"
"C0001577","1","PRODUCTION PIONEER","PRODUCTION PIONEER: ","Ghana","Other Activities","1992-03-08 00:00","","Marine incident","","","","0",""
"C0001576","1","PEONY","PEONY: ","Panama","General Cargo","1992-03-05 00:00","","Marine incident","","","","0",""
"C0001575","1","LONG LIN","LONG LIN: ","China","General Cargo","1992-03-04 00:00","","Marine incident","","","","0",""
"C0000769","1","CAST MUSKOX","CAST MUSKOX: ","Bahamas","Bulk Dry","1992-03-04 00:00","","Marine incident","","","","0",""
"C0000767","1","NEWCASTLE CITY","NEWCASTLE CITY: ","Panama","Bulk Dry","1992-03-02 00:00","","Marine incident","","","","0",""
"C0000768","1","OLD FATHER","OLD FATHER: ","Saint Vincent and the Grenadines","General Cargo","1992-03-02 00:00","","Marine incident","","","","0",""
"C0000766","1","VIHREN","VIHREN: ","Bulgaria","Bulk Dry","1992-02-19 00:00","","Marine incident","","","","0",""
"C0000765","1","LOTUS M.","LOTUS M.: ","Panama","Bulk Dry / Oil","1992-02-16 00:00","","Marine incident","","","","0",""
"C0000764","1","GOLDEN KEY 88","GOLDEN KEY 88: ","Honduras","Other Fishing","1992-02-13 00:00","","Marine incident","","","","0",""
"C0007438","1","DAISHOWA MARU (IMO 8600557)","DAISHOWA MARU (IMO 8600557): ","Panama","","1992-02-11 00:00","","Marine casualty","","In Twofold Bay","","1","Unknown"
"C0000763","1","JENNY MARGOT","JENNY MARGOT: ","Venezuela (Bolivarian Republic of)","Fish Catching","1992-02-07 00:00","","Marine incident","","","","0",""
"C0007290","1","QUEEN OF SAANICH (IMO 5408142)","QUEEN OF SAANICH (IMO 5408142): ","Canada","","1992-02-06 08:18","","Marine casualty","","Northen Entrance to Active Pass, British Columbia","","1","Unknown"
"C0008467","1","NORSEA","NORSEA: ","Unknown","Passenger","1992-02-05 00:00","","Very serious marine casualty","","Hull","","1","United Kingdom"
"C0000762","1","CUIDAD DE PASTO","CUIDAD DE PASTO: ","Colombia","Container","1992-02-03 00:00","","Marine incident","","","","0",""
"C0000761","1","PANAGIA PHANEROMENI","PANAGIA PHANEROMENI: ","Cyprus","Bulk Dry","1992-01-30 00:00","","Marine incident","","","","0",""
"C0000760","1","CAPTAIN VENIAMIS","CAPTAIN VENIAMIS: ","Greece","Bulk Dry","1992-01-25 00:00","","Marine incident","","","","0",""
"C0000759","1","XIAN FENG","XIAN FENG: ","Panama","General Cargo","1992-01-24 00:00","","Marine incident","","","","0",""
"C0007398","1","LE SAULE N0.1","LE SAULE N0.1: ","Canada","","1992-01-20 07:43","","Marine incident","","Port of Trois-Rivières, Quebec","","1","Unknown"
"C0000758","1","MARISEA","MARISEA: ","Singapore","General Cargo","1992-01-14 18:20","","Marine casualty","","","","0",""
"C0000757","1","ARISAN","ARISAN: ","Panama","Bulk Dry","1992-01-11 00:00","","Marine incident","","","","0",""
"C0000756","1","DOOYANG SAPPHIRE","DOOYANG SAPPHIRE: ","Republic of Korea","General Cargo","1992-01-09 00:00","","Marine incident","","","","0",""
"C0000755","1","SOVIETSKAYA KALMYKIYA","SOVIETSKAYA KALMYKIYA: ","Russian Federation","Passenger/Ro-Ro Cargo","1992-01-08 00:00","","Marine incident","","","","0",""
"C0000754","1","MARINE PUSAN","MARINE PUSAN: ","Republic of Korea","General Cargo","1992-01-07 00:00","","Marine incident","","","","0",""
"C0007297","1","SANTA CLARA I","SANTA CLARA I: ","Unknown","","1992-01-03 01:30","","Marine casualty","","Near New Jersey Coast","","1","Unknown"
"C0000730","1","FALTICENI","FALTICENI: ","Romania","General Cargo","1991-12-31 00:00","","Marine incident","","","","0",""
