summary_nr,report_id,event_date,event_time,event_desc,event_keyword,const_end_use,build_stories,nonbuild_ht,project_cost,project_type,sic_list,fatality,state_flag,abstract_text,load_dt
14403455,626000,1995-07-16 09:50:00,,Employee killed when knocked to rig floor,"HEAD,RIGGING,FALL,STRUCK BY,TONGS,CONCUSSION,GAS WELL DRILLING,MECH MALFUNCTION",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14403489,626000,1992-01-25 00:00:00,,Employee killed when struck by falling trailer,"CRUSHED,MIRED,OIL WELL SERVICING,STRUCK BY,TRACTOR TRAILER,TRAILER",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14403513,626000,1993-03-27 08:30:00,,"Employee killed, one injured when struck by falling pipe","LOADING,FRACTURE,HEAD,WORK RULES,OIL WELL SERVICING,PIPE,STRUCK BY,TRAILER,FALLING OBJECT,LEG",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14403729,626000,1996-02-06 10:15:00,,Employee killed when struck on head by falling pipe,"HEAD,UNSECURED,WORK RULES,OIL WELL DRILLING,OFF LOADING,PIPE,STRUCK BY,TRACTOR TRAILER,FALLING OBJECT,INATTENTION",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14404917,626600,1995-08-15 16:50:00,,Employee dies of heat stroke,"HEAT,HEAT STROKE,OIL WELL SERVICING,HIGH TEMPERATURE",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14407340,626700,1994-06-19 10:30:00,,Employee killed when struck by high pressure gas,"GAS,HIGH PRESSURE,OIL WELL SERVICING,STRUCK BY,PRESSURE RELEASE",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14407415,626700,1994-06-19 10:30:00,,Employee killed when well blows out,"WORK RULES,OIL WELL DRILLING,BLOWOUT--OIL WELL,PRESSURE RELEASE",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14408900,626700,1997-06-30 11:45:00,,Employee killed in fall when work platform detaches,"UNSECURED,OIL WELL DRILLING,FALL,ELEVATED WORK PLAT,WORK PLATFORM",,,,,,1311,X,,,2019-07-22 00:18:28 EDT
14408926,626600,1991-04-22 00:00:00,,"Employees injured, one killed in flash fire","FLAMMABLE VAPORS,FIRE,GAS,OIL WELL SERVICING",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14409056,626600,1996-04-13 01:15:00,,Employee killed when struck by break-out tongs,"CHEST,WIRE ROPE,WORK RULES,DRILL PIPE,FOULED LINE,OIL WELL DRILLING,CRUSHED,STRUCK BY,TONGS",,,,,,1381,X,,,2019-07-22 00:18:28 EDT
14409254,626600,1994-05-31 15:00:00,,Employee killed in fall from elevated pipe basket,"COLLAPSE,BROKEN CABLE,FALL,FALL PROTECTION,OIL WELL SERVICING,PIPE,STRUCK BY,ELEVATED WORK PLAT",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14409734,626600,1995-06-19 09:00:00,,Employee killed when trapped beneath pumping unit,"FRACTURE,OIL WELL DRILLING,BACK,STRUCK BY,FALLING OBJECT,PUMP,UNSTABLE LOAD",,,,,,1382,X,,,2019-07-22 00:18:28 EDT
14410252,626700,1991-10-21 00:00:00,,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU METAL POLE,"OVERHEAD POWER LINE,ELECTRICAL,ELECTROCUTED,METAL POLE,E GI IC",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14410617,626700,1992-02-08 00:00:00,,EMPLOYEE IS CRUSHED BY FALLING EQUIPMENT,"UNSECURED,CRUSHED,OIL WELL SERVICING,FALLING OBJECT,FLATBED TRUCK,UNSTABLE LOAD",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14410799,626700,1991-02-07 00:00:00,,Employee killed in welding explosion,"FLAMMABLE LIQUID,WORK RULES,WELDING,EXPLOSION,TANK",,,,,,"1311,1381",X,,,2019-07-22 00:18:28 EDT
14410930,626700,1997-04-22 19:30:00,,"One employee killed, three injured by falling drill mast","CAUGHT BY,EQUIPMENT FAILURE,GUY,OIL WELL SERVICING,OIL RIG,OVERTURN",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14410948,626700,1997-07-07 15:00:00,,Employee killed in explosion of cutter head assembly,"AMPUTATED,EXPLOSIVES,WORK RULES,EXPLOSION,OIL WELL SERVICING,ARM,FLYING OBJECT,COMMUNICATION,LEG",,,,,,1389,X,,,2019-07-22 00:18:28 EDT
14411284,626700,1999-04-13 17:00:00,,Four employees injured by falling oil well apparatus,"HOISTING MECHANISM,COLLAPSE,UNSECURED,WORK RULES,OIL WELL SERVICING,STRUCK BY,TONGS,FALLING OBJECT,OIL RIG,HOISTLINE",,,,,,1389,,,,2019-07-22 00:18:28 EDT
14412423,626600,1987-02-13 00:00:00,,Employee dies after ethane explosion and fire,"BURN,LEAK,FLAMMABLE VAPORS,FIRE,GAS,ETHANOL,EXPLOSION,GAS LEAK,GAS WELL DRILLING",,,,,,1311,X,,,2019-07-22 00:18:28 EDT
