LEASE_NAME,SURF_LEASE_NUM,WATER_DEPTH,API_WELL_NUMBER,WELL_NAME,WELL_SPUD_DATE,TOTAL_DEPTH_DATE,DRILLING_DAYS,COMPLETION_DAYS,MAX_BH_TOTAL_MD,MAX_WELL_BORE_TVD,MAX_DRILL_FLUID_WGT
Cascade,G16965,8200,608124003800,CA003,11/06/2008,06/03/2009,209,245,27019.0,26804.0,15.6
Cascade,G16965,8200,608124004701,CA004,04/13/2012,06/17/2012,65,175,27243.0,26493.0,19.2
Cascade,G16965,8200,608124008300,CA006,01/01/2013,08/11/2013,222,128,27460.0,26969.0,17.0
Chinook,G16997,8900,608124001000,001,01/13/2003,06/19/2003,157,27,27652.0,27626.0,16.15
Chinook,G16997,8900,608124004600,002,11/27/2009,12/22/2009,25,19,21695.0,21671.0,16.5
Chinook,G16997,8900,608124004601,002,01/08/2010,02/05/2010,28,9,25077.0,25022.0,16.0
Chinook,G16997,8900,608124004602,CH002,02/11/2010,02/24/2010,13,90,26378.0,26222.0,14.9
Chinook,G16997,8900,608124009700,CH004,12/07/2014,03/11/2015,94,311,26480.0,26263.0,18.3
Jack,G21245,7240,608124000400,001,09/21/2000,11/20/2000,60,39,20300.0,20266.0,
Jack,G21245,7240,608124000401,001,11/27/2000,01/06/2001,40,21,26850.0,26795.0,
Jack,G21245,7240,608124000402,001,05/21/2004,06/09/2004,19,25,28905.0,28845.0,16.8
Jack,G21245,7240,608124001100,002,07/06/2003,10/13/2003,99,37,29066.0,29012.0,18.5
Jack,G21245,7240,608124003100,003,12/21/2007,08/03/2008,226,21,28240.0,28238.0,16.8
Jack,G21245,7240,608124003101,003,08/23/2008,10/18/2008,56,34,28360.0,28265.0,16.4
Jack,G21245,7240,608124013500,IS001,12/26/2020,02/09/2021,45,144,28475.0,28300.0,18.0
Jack,G21245,7240,608124013300,IS003,08/14/2020,11/29/2020,107,144,28350.0,28291.0,18.5
Julia,G20351,7335,608124009400,DC101,07/10/2014,11/03/2014,116,143,30944.0,30685.0,45.0
Julia,G20351,7335,608124003300,JU102,02/17/2008,05/23/2008,96,80,30955.0,30951.0,16.9
Julia,G20351,7335,608124003301,JU102,01/20/2015,02/26/2015,37,173,30483.0,30453.0,16.2
Julia,G20351,7335,608124010200,JU103,10/21/2015,01/12/2016,83,29,31400.0,30815.0,16.6
Julia,G20351,7335,608124010800,JU104,02/13/2016,06/30/2016,138,130,31315.0,30310.0,20.0
Julia,G20351,7335,608124011100,JU105,09/03/2016,10/25/2016,52,96,22195.0,21096.0,17.0
Julia,G20351,7335,608124011101,JU105,01/24/2017,05/26/2017,122,100,31472.0,28961.0,16.5
Julia,G20351,7335,608124012700,JU106,05/10/2019,09/26/2019,139,38,33077.0,30334.0,16.8
Julia,G20351,7335,608124012701,JU106,10/29/2019,11/17/2019,19,96,31910.0,29185.0,16.4
Kaskida,G25792,5860,608084001100,001,01/24/2006,02/18/2006,25,8,17952.0,17950.0,
Kaskida,G25792,5860,608084001101,001,02/22/2006,03/31/2006,37,16,30450.0,30444.0,15.0
Kaskida,G25792,5860,608084001102,001,04/14/2006,05/22/2006,38,46,32499.0,32475.0,15.2
Kaskida,G25792,5860,608084001103,001,12/10/2006,12/24/2006,14,50,29866.0,29771.0,15.4
Kaskida,G25792,5860,608084001104,001,04/16/2008,06/02/2008,47,26,32455.0,32432.0,
Kaskida,G25792,5860,608084002700,002,11/02/2011,12/31/2012,364,55,32970.0,31375.0,40.0
Kaskida,G25792,5860,608084002701,002,02/28/2013,03/31/2013,31,84,34381.0,32629.0,17.5
North Platte,G30876,5840,608074030500,001,07/03/2012,08/17/2012,45,37,23320.0,23320.0,17.0
North Platte,G30876,5840,608074030501,001,09/20/2012,11/26/2012,67,27,34500.0,34499.0,16.93
North Platte,G30876,5840,608074030502,001,12/21/2012,01/13/2013,23,15,33500.0,33498.0,15.7
North Platte,G32460,4230,608074031400,002,02/03/2015,03/22/2015,47,15,20701.0,20701.0,17.0
North Platte,G32460,4230,608074031500,003,04/22/2015,10/20/2015,181,26,34433.0,33913.0,18.0
North Platte,G32460,4230,608074031501,003,11/13/2015,12/10/2015,27,17,33939.0,33464.0,17.9
North Platte,G32460,4230,608074031502,003,12/25/2015,02/09/2016,46,31,33192.0,31960.0,18.2
North Platte,G30876,5840,608074032000,004,09/05/2016,12/17/2016,103,29,34775.0,34193.0,19.0
North Platte,G30876,5840,608074032001,004,01/14/2017,03/05/2017,50,28,37743.0,35115.0,18.2
North Platte,G30876,5840,608074032002,004,04/10/2017,04/15/2017,5,22,34464.0,32145.0,18.6
North Platte,G30876,5840,608074032003,004,05/06/2017,06/02/2017,27,16,34210.0,32041.0,18.6
North Platte,G30876,5840,608074032800,005,02/03/2023,03/29/2023,54,33,34995.0,33456.0,16.6
North Platte,G30876,5840,608074034100,007,,,0,0,,,
North Platte,G30876,5840,608074034300,009,,,0,0,,,
North Platte,G30876,5840,608074034400,010,,,0,0,,,
North Platte,G30876,5840,608074033400,SP101,,,0,0,,,
North Platte,G30876,5840,608074033500,SP102,,,0,0,,,
North Platte,G30876,5840,608074033600,SP103,,,0,0,,,
North Platte,G30876,5840,608074033700,SP106,,,0,0,,,
North Platte,G30876,5840,608074033000,SP201,,,0,0,,,
North Platte,G30876,5840,608074033100,SP202,,,0,0,,,
North Platte,G30876,5840,608074033200,SP203,,,0,0,,,
North Platte,G30876,5840,608074033300,SP204,,,0,0,,,
Shenandoah,G25232,5840,608124003400,001,06/04/2008,06/23/2008,19,13,16685.0,16684.0,12.7
Shenandoah,G25232,5840,608124003401,001,07/03/2008,10/20/2008,109,27,25413.0,25367.0,15.6
Shenandoah,G25232,5840,608124003402,001,11/11/2008,01/22/2009,72,74,30039.0,29948.0,17.0
Shenandoah,G31938,5800,608124007500,001,06/29/2012,09/06/2012,69,8,13075.0,13075.0,16.3
Shenandoah,G31938,5800,608124007900,002,09/17/2012,01/29/2013,134,49,31405.0,31405.0,17.0
Shenandoah,G25232,5840,608124009300,002,05/29/2014,11/08/2014,163,36,33225.0,32807.0,17.0
Shenandoah,G25232,5840,608124009301,002,12/07/2014,12/19/2014,12,14,31726.0,31373.0,14.5
Shenandoah,G31938,5800,608124010100,003,05/26/2015,08/28/2015,94,16,31296.0,31025.0,17.0
Shenandoah,G31938,5800,608124010101,003,09/08/2015,10/16/2015,38,16,32105.0,31803.0,16.8
Shenandoah,G31938,5800,608124010102,003,10/26/2015,12/14/2015,49,13,31765.0,31591.0,16.8
Shenandoah,G31938,5800,608124010103,003,12/21/2015,01/02/2016,12,15,29651.0,29189.0,17.8
Shenandoah,G25232,5840,608124011300,003,12/16/2016,02/07/2017,53,19,32047.0,31768.0,17.1
Shenandoah,G25232,5840,608124011301,003,02/19/2017,02/26/2017,7,14,30671.0,29933.0,17.0
Shenandoah,G31938,5800,608124010900,SA005,03/14/2016,07/05/2016,113,44,31100.0,31100.0,18.0
Shenandoah,G25232,5840,608124011302,SA006,03/08/2017,03/20/2017,12,32,30891.0,30141.0,80.0
Shenandoah,G31938,5800,608124014000,SA007,11/13/2022,11/14/2023,28,19,28430.0,27996.0,72.0
Shenandoah,G31938,5800,608124014001,SA007,11/30/2023,12/02/2023,2,22,28213.0,27787.0,17.2
Shenandoah,G31938,5800,608124014003,SA007,05/24/2024,06/02/2024,9,100,29850.0,29725.0,17.1
Shenandoah,G31938,5800,608124014002,SA007,,,0,0,,,
Shenandoah,G31938,5800,608124014100,SA008,11/22/2022,03/19/2023,117,175,30965.0,30780.0,18.7
Shenandoah,G31938,5800,608124014400,SA009,11/28/2022,05/12/2023,165,186,31870.0,31085.0,19.2
Shenandoah,G31938,5800,608124013900,SA010,11/02/2022,09/10/2023,86,115,32219.0,30899.0,19.2
Shenandoah,G31938,5800,608124015200,SA011,,,0,0,,,
St Malo,G17016,6820,608124001300,001,03/09/2004,05/18/2004,70,5,19653.0,19643.0,14.1
St Malo,G17016,6820,608124001301,001,05/18/2004,07/09/2004,52,24,29000.0,28986.0,14.4
St Malo,G18753,6820,608124002900,001,08/17/2007,02/05/2008,172,26,28459.0,28458.0,17.0
St Malo,G18745,6820,608124004400,001,07/19/2009,07/21/2009,2,2,9652.0,9652.0,13.3
St Malo,G20394,6820,608124012800,001,08/17/2019,09/01/2019,15,14,23305.0,21876.0,17.0
St Malo,G20394,6820,608124012801,001,09/09/2019,09/14/2019,5,22,23697.0,22552.0,16.7
St Malo,G20394,6820,608124012802,001,09/29/2019,11/09/2019,41,8,29817.0,28265.0,17.0
St Malo,G20394,6820,608124012803,001,11/16/2019,11/21/2019,5,10,30340.0,28840.0,17.0
St Malo,G17015,6820,608124002700,002,08/06/2007,04/20/2008,19,14,20203.0,19988.0,11.3
St Malo,G17015,6820,608124002701,002,04/30/2008,05/28/2008,28,11,23435.0,23045.0,12.6
St Malo,G17015,6820,608124002702,002,06/04/2008,06/06/2008,2,9,22565.0,22397.0,12.76
St Malo,G17015,6820,608124002703,002,06/12/2008,10/10/2008,120,47,29743.0,28328.0,15.09
St Malo,G18745,6820,608124005300,PN001,11/21/2011,10/16/2012,72,116,29009.0,28093.0,17.0
St Malo,G18745,6820,608124005400,PN002,11/22/2011,07/07/2015,61,80,28721.0,28076.0,16.4
St Malo,G18745,6820,608124005500,PN003,11/23/2011,03/17/2015,65,25,29255.0,28304.0,17.0
St Malo,G18745,6820,608124013200,PN005,05/17/2020,06/12/2020,26,9,21490.0,20171.0,17.0
St Malo,G18745,6820,608124013201,PN005,06/19/2020,07/02/2020,13,10,21665.0,20324.0,17.0
St Malo,G18745,6820,608124013202,PN005,07/11/2020,09/30/2020,81,125,30846.0,28656.0,18.0
St Malo,G18745,6820,608124010700,PN007,10/29/2015,11/22/2015,24,7,20452.0,20194.0,17.0
St Malo,G18745,6820,608124010701,PN007,11/27/2015,12/26/2015,29,94,28883.0,28318.0,17.0
St Malo,G17015,6820,608124005200,PS001,11/06/2011,08/02/2015,24,14,19621.0,19551.0,17.0
St Malo,G18753,6820,608124005700,PS001,12/03/2011,05/04/2013,82,122,29325.0,28367.0,17.0
St Malo,G17015,6820,608124005201,PS001,08/10/2015,09/29/2015,50,114,29478.0,28333.0,17.0
