﻿OccNo,OccID,VesselID,VesselName,XrfOccVesselVictimCountID,ManuallyEnteredStatsIND,VictimMissing,VictimMinorInjuries,VictimSeriousInjuries,VictimDeath,TotalVesselInjuries,TotalPeopleInWater,PeopleInWaterWearingLSE,PeopleInWaterLseTypeID,PeopleInWaterLseTypeDisplayEng,PeopleInWaterLseTypeDisplayFre,PeopleInWaterNoLSE,PeopleInWaterDontKnowLSE
"M24P0078",51932,,"ASHORE/RIVAGE",19646,0,0,0,0,0,0,0,0,,,,0,0
"M23F0012",51931,26878,"ASTERIX",19643,1,0,0,1,0,1,0,0,,,,0,0
"M23F0012",51931,,"ASHORE/RIVAGE",19642,0,0,0,0,0,0,0,0,,,,0,0
"M24C0039",51930,27947,"PELEE ISLANDER II",19641,0,0,0,0,0,0,0,0,,,,0,0
"M24C0039",51930,,"ASHORE/RIVAGE",19640,0,0,0,0,0,0,0,0,,,,0,0
"M24C0037",51928,13207,"KIJU",19631,0,0,0,0,0,0,0,0,,,,0,0
"M24C0037",51928,,"ASHORE/RIVAGE",19630,0,0,0,0,0,0,0,0,,,,0,0
"M24C0036",51927,30754,"HACHE III",19629,0,0,0,0,0,0,0,0,,,,0,0
"M24C0036",51927,,"ASHORE/RIVAGE",19628,0,0,0,0,0,0,0,0,,,,0,0
"M24C0035",51926,30196,"STEVE L",19639,0,0,0,0,0,0,0,0,,,,0,0
"M24C0035",51926,,"ASHORE/RIVAGE",19638,0,0,0,0,0,0,0,0,,,,0,0
"M24P0077",51925,30756,"Recreational Craft - small craft, ""GOAT RODEO""",19623,0,0,0,0,0,0,0,0,,,,0,0
"M24P0077",51925,6100,"QUINSAM",19622,0,0,0,0,0,0,0,0,,,,0,0
"M24P0077",51925,,"ASHORE/RIVAGE",19621,0,0,0,0,0,0,0,0,,,,0,0
"M24C0034",51924,21104,"WINDJAMMER",19637,0,0,0,0,0,0,0,0,,,,0,0
"M24C0034",51924,,"ASHORE/RIVAGE",19636,0,0,0,0,0,0,0,0,,,,0,0
"M24F0002",51922,3001,"CSL LAURENTIEN",19602,1,0,0,0,0,0,0,0,,,,0,0
"M24F0002",51922,,"ASHORE/RIVAGE",19601,0,0,0,0,0,0,0,0,,,,0,0
"M24A0075",51921,24554,"MITCHELL'S DREAM",19635,0,0,0,0,0,0,0,0,,,,0,0
"M24A0075",51921,,"ASHORE/RIVAGE",19634,0,0,0,0,0,0,0,0,,,,0,0
"M24C0033",51919,28808,"LADY ESTHER",19612,0,0,0,0,0,0,0,0,,,,0,0
"M24C0033",51919,,"ASHORE/RIVAGE",19611,0,0,0,0,0,0,0,0,,,,0,0
"M24C0032",51918,30361,"ALGOBERTA",19608,0,0,0,0,0,0,0,0,,,,0,0
"M24C0032",51918,,"ASHORE/RIVAGE",19607,0,0,0,0,0,0,0,0,,,,0,0
"M24A0073",51917,21076,"LADY KEARNEY",19625,0,0,0,0,0,0,0,0,,,,0,0
"M24A0073",51917,,"ASHORE/RIVAGE",19624,0,0,0,0,0,0,0,0,,,,0,0
"M24A0071",51915,24853,"ALL MINE",19618,0,0,0,0,0,0,0,0,,,,0,0
"M24A0071",51915,,"ASHORE/RIVAGE",19617,0,0,0,0,0,0,0,0,,,,0,0
"M24A0070",51914,29111,"LISA & GIRLS",19620,0,0,0,0,0,0,0,0,,,,0,0
"M24A0070",51914,,"ASHORE/RIVAGE",19619,0,0,0,0,0,0,0,0,,,,0,0
"M24A0067",51910,23780,"PETIT GODIN",19596,0,0,0,0,0,0,0,0,,,,0,0
"M24A0067",51910,,"ASHORE/RIVAGE",19595,0,0,0,0,0,0,0,0,,,,0,0
"M24A0066",51909,17214,"MARIE-EVE",19598,0,0,0,0,0,0,0,0,,,,0,0
"M24A0066",51909,,"ASHORE/RIVAGE",19597,0,0,0,0,0,0,0,0,,,,0,0
"M24A0065",51907,30753,"CINDY MAXIME",19604,0,0,0,0,0,0,0,0,,,,0,0
"M24A0065",51907,,"ASHORE/RIVAGE",19603,0,0,0,0,0,0,0,0,,,,0,0
"M24P0075",51906,10633,"HONOURABLE HENRY JACKMAN",19579,1,0,0,3,0,3,0,0,,,,0,0
"M24P0075",51906,,"ASHORE/RIVAGE",19578,0,0,0,0,0,0,0,0,,,,0,0
"M24P0074",51905,30749,"COAST LOGGER",19585,0,0,0,0,0,0,0,0,,,,0,0
"M24P0074",51905,,"ASHORE/RIVAGE",19584,0,0,0,0,0,0,0,0,,,,0,0
"M24P0073",51904,4737,"QUEENS REACH",19587,0,0,0,0,0,0,0,0,,,,0,0
"M24P0073",51904,,"ASHORE/RIVAGE",19586,0,0,0,0,0,0,0,0,,,,0,0
"M24P0072",51903,3188,"QUEEN OF COWICHAN",19581,0,0,0,0,0,0,0,0,,,,0,0
