RIG_NAME,VESSEL_TYPE,VESSEL_DESIGN,CONSTRUCTION_YEAR,UPGRADE_YEAR,CLASSIFICATION_SOCIETY,MAX_WATER_DEPTH_RATING_FT,MAX_DRILLING_DEPTH_FT,TOTAL_VESSEL_POWER_HP,QUARTERS_CAPACITY,LENGTH_FT,WIDTH_FT,OPERATING_DRAFT_FT,MAX_VARIABLE_LOAD_ST,DERRICK_RATING_KIPS,DRAWWORKS_HP,BOP_OPERATING_PRESSURE_KSI
TRANSOCEAN RATHER,SS,GVA 4500,1988,1995,DNV,5000,25000,18120,104,325,287,82,3858,1500,3000,15
SOVEREIGN EXPLORER,SS,Enhanced GVA 4000,1984,,DNV,4500,25000,14792,134,301,256,80,3906,1400,3000,15
ABAN ABRAHAM,DS,Gusto Pelican Class,1976,2008,DNV,7000,25000,24000,120,488,448,24.6,8950,1330,3000,10
HYSY 981,SS,,2012,,ABS,9840,32800,,,374,292,,9000,,,
OCEAN CLIPPER,DS,Converted Tanker,1977,1999,ABS,7875,25000,25200,140,528,109,24,11384,1400,3000,15
OCEAN CONFIDENCE,SS,Aker H-3.2 Mod,1988,2000,ABS,10000,35000,53083,146,320,238,75,6600,2000,5000,15
OCEAN ALLIANCE,SS,4th Gen. Odeco,1988,,ABS,5250,25000,37600,120,402,259,76,4300,1800,3000,15
OCEAN COURAGE,SS,6th Gen. F&G ExD Millennium,2009,,ABS,10000,40000,40480,164,398,298,55.8,8000,2000,4500,15
OCEAN VALOR,SS,6th Gen. F&G ExD Millennium,2009,,ABS,10000,40000,40480,164,398,298,55.8,8000,2000,4500,15
BELFORD DOLPHIN,DS,Navis,2000,,DNV,10000,37000,58800,130,672,131,40,12515,2000,6900,15
ENSCO 7500,SS,Ensco  7500,2000,,ABS,8000,35000,30000,122,240,248,60,8000,1928,3000,15
ENSCO 8500,SS,Ensco 8500,2009,,ABS,10000,35000,35000,150,255,240,60,8000,2000,6000,15
ENSCO 8501,SS,Ensco 8500,2009,,ABS,10000,35000,35000,150,255,240,60,8000,2000,6000,15
ENSCO 8502,SS,Ensco 8500,2010,,ABS,10000,35000,35000,150,255,240,60,8000,2000,6000,15
ENSCO 8503,SS,Ensco 8500,2010,,ABS,10000,35000,35000,150,255,240,60,8000,2000,6000,15
ENSCO 8504,SS,Ensco 8500,2011,,ABS,10000,35000,35000,150,255,240,60,8000,2000,6000,15
ENSCO 8505,SS,Ensco 8500,2012,,ABS,10000,35000,35000,150,255,240,60,8000,2000,6000,15
ENSCO DS-1,DS,"Gusto 10,000",1999,2004,DNV,10000,31500,39660,162,680,98.5,31.5,19510,1600,4600,10
ENSCO DS-2,DS,"Gusto 10,000",1999,2005,DNV,10000,31500,39660,162,680,98.5,31.5,19510,1600,4600,10
ENSCO 6001,SS,Megathyst,2000,2009,LR,5600,25000,26760,130,249,179,62,3857,1300,3000,10
ENSCO 6002,SS,Megathyst,2000,2010,LR,5600,25000,26760,130,249,179,62,3857,1300,3000,10
ENSCO 6004,SS,Megathyst,2000,2010,LR,5600,25000,26760,130,249,179,62,3857,1300,3000,10
ENSCO 6003,SS,Megathyst,2000,2010,LR,5600,25000,26760,120,249,179,62,3857,1300,3000,10
ENSCO DS-3,DS,Samsung,2010,,ABS,10000,40000,54000,200,751,138,39,20000,2000,5750,15
ENSCO DS-4,DS,Samsung,2010,,ABS,12000,40000,64200,200,751,138,39,20000,2000,5750,15
ENSCO DS-5,DS,Samsung,2011,,ABS,12000,40000,64200,200,751,138,39,20000,2000,5750,15
ENSCO DS-6,DS,Samsung,2011,,ABS,12000,40000,64200,200,751,138,39,20000,2000,5750,15
LA MURALLA IV,SS,F&G ExD Millennium,2010,,,10000,40000,,,398,298,,,,,
JASPER EXPLORER,DS,Gusto Pelican Class,2009,,DNV,5000,25000,,139,541,98,,7958,1500,,
MufffdRSK DEVELOPER,SS,KFELS MSC GUSTO DSS21,2009,,ABS,10000,30000,51500,180,384,258,67,14900,2500,6000,15
MAERSK DISCOVERER,SS,KFELS MSC GUSTO DSS21,2009,,ABS,10000,30000,51500,180,384,258,67,14900,2500,6000,15
MufffdRSK DELIVERER,SS,KFELS MSC GUSTO DSS21,2010,,ABS,10000,30000,51500,180,384,258,67,14900,2500,6000,15
NOBLE PAUL WOLFF,SS,EVA-4000u2122,1982,2006,ABS,9200,23000,43000,125,341.6,363.4,79,5500,1500,3000,15
NOBLE ROGER EASON,DS,"Conv n, Neddrill",1977,1998,BV,7200,23000,32000,105,541,90,30,11163,1400,3000,15
NOBLE LEO SEGERIUS,DS,"Gusto, Mod. Pelican",1981,1997,ABS,5500,23000,35000,150,516,111,24,12150,1500,3000,10
NOBEL MURAVLENKO,DS,"Gusto, Mod. Pelican",1982,1997,BV,4900,23000,17200,116,490,79,24,7200,1000,3000,10
NOBLE DAVE BEARD,SS,Modified Enhanced Pacesetter,1986,2008,ABS,10000,35000,,,,,,,2000,6900,15
NOBLE DANNY ADKINS,SS,Bingo 9000,1999,2009,ABS,12000,37000,51360,344,277,39.5,,9000,2500,6900,15
NOBLE JIM DAY,SS,Bingo 9000,1999,2010,ABS,12000,37000,51360,344,277,39.5,,9000,2500,6900,15
NOBLE PHOENIX,SS,IHC Gusto BV Pelican,1979,2009,DNV,5000,30000,36000,120,344.5,72,,6804,1500,6000,10
NOBLE GLOBETROTTER I,DS,Globetrotter,2010,,ABS,10000,40000,49350,180,620,105,39.4,20620,2000,6170,15
NOBLE BULLY I,"DS Gusto, MSC Bully PRD",2008,2011,,DNV,8250,40000,43200,156,615,128,32.5,12300,2000,6600,15
ERIK RAUDE,SS,Bingo 9000,2002,,DNV,10000,,10200,140,391,279,78,6624,2000,4000,15
LEIV EIRIKSSON,SS,Bingo 9000,2002,,DNV,10000,,10200,140,391,279,78,6624,2000,4000,15
OCEAN RIG CORCOVADO,DS,Saipem 10000,2011,,ABS,10000,35000,,217,748,,,20000,,,15
OCEAN RIG OLYMPIA,DS,Saipem 10001,2011,,ABS,10000,35000,,217,748,,,20000,,,15
OCEAN RIG POSEIDEN,DS,Saipem 10002,2011,,ABS,10000,35000,,217,748,,,20000,,,15
OCEAN RIG MYKONOS,DS,Saipem 10003,2011,,ABS,10000,35000,,217,748,,,20000,,,15
DEEPSEA METRO I,DS,Gusto,2011,,DNV,12000,40000,,210,753,118,36,,,6900,
DEEPSEA METRO II,DS,Gusto,2012,,DNV,12000,40000,,210,753,118,36,,,6900,
DEEPSEA STAVANGER,SS,GVA 7500,2010,,NMD,9840,37500,,156,108,78,75.5,7000,,4600,
DEEPSEA  ATLANTIC,SS,GVA 7500,2011,,NMD,9840,37500,,156,108,78,75.5,7000,,4600,
Pacific Bora,DS,"Samsung 10,000",2010,,ABS,10000,37500,60000,200,748,138,39,22051,2000,5750,15
Pacific Scirocco,DS,"Samsung 12,000",2011,,ABS,10000,37500,60000,200,748,138,39,22051,2000,5750,15
Pacific Mistral,DS,"Samsung 12,000",2012,,ABS,10000,37500,60000,200,748,138,39,22051,2000,5750,15
Pacific Santa Ana,DS,"Samsung 12,000",2013,,ABS,10000,37500,60000,200,748,138,39,22051,2000,5750,15
Louisiana,SS,F&G L-900 Pacesetter,1998,,,6234,30000,,,,,,,,,
SSV Victoria,SS,GVA 7500,2009,,,10000,35000,,,,,,,,,
GOLD STAR,SS,Gusto DSS-38,2009,,ABS,9000,30000,,,,,,,,,
,,,,,,,,,,,,,,,,
LONE STAR,SS,Gusto YDS-2000 PLUS,2009,,ABS,7880,24600,,130,339,228,67,9622,,6000,
SAIPEM 10000,DS,Samsung Heavy Industries,2000,,ABS,10000,30000,56000,170,745,37,39.4,20000,2000,4200,15
SAIPEM 12000,DS,Samsung Heavy Industries,2010,,ABS,12000,25000,64000,200,745,37,39.4,20000,2000,5750,15
SCARABEO 5,SS,ME4500,1990,2003,ABS,6500,25000,40000,106,265,226,77,4740,1500,3000,15
SCARABEO 8,SS,Moss CD50 MKII,2012,,DNV,10000,35000,54000,140,273,238,77.1,6600,2000,4000,15
SCARABEO 9,SS,Frigstad D-90 DRR,2011,,DNV,12000,50000,62000,200,265,250,77.4,7700,2000,,15
