source_project_key,locator_json,locator_sha256,source_row_sha256,active
src-prj-87861f05969148d0b7ebf562a3c7d67f,"{""PROJECT"":""Papa-Terra (BC-20)""}",bfd71b5d357d6c42b6c0760a681cdeca2bea29e987ef16e5d7d1030c153936aa,a84f11e20f0a2c25e606d8adc8f01463d3b41590bb09aee0f298bc4d6e46416b,true
src-prj-a0c70056d41049a5bec81b62c42b0403,"{""PROJECT"":""Payara""}",c3fc891e9e36fbd1dcc08a44b98353655fd8bd6226297c3f5e4498149e7cd95b,f2dc45b54622ff5bf6c0e50d71cfe89907f36d2b099d412774a9e688fa8cef4a,true
src-prj-6f97684e0fc54b41b5247b78bf84766a,"{""PROJECT"":""Peregrino Phase 2""}",7e534ab2dd4c346c1d4a570990e835939d40fc9fa70b1f0e1d65ac3de1d4b75f,a339b46edd036a1a430ea970786ed15ea96aaf3ea18c242081cf9c443429191f,true
src-prj-ca91d6119d8b4bc2b130e9260415e03a,"{""PROJECT"":""Rosebank Phase 1""}",56765cbbfef91e12a657a9baa8a8f0783203df62c5ca2b0dcc562eb12b98e3e7,cb8624578e98e5c6f14d42a3497dbb2105078c64ae380df34cbb577d4dfe972f,true
src-prj-7ae1edfb78f646ec82e2a2db8be2c23f,"{""PROJECT"":""Sangomar Phase 1""}",14f7134573ce4d702b9591355f8a8b23aaaf03cf65c33972a0025c683b7803f0,78745c825318c280c6d94e045d690ff1ca6bdc076a323198752bba2a7a4bb554,true
src-prj-ebec097ad8fc47029490a5ca82751360,"{""PROJECT"":""Scarborough (incl. Pluto Train 2)""}",111330cdba509b1e371a727ea4388de08713011ad4370749a844c70e5dc71017,173a8ff99bdf610b4f3d5a40ccb6d8c23b2f51aee801a3afdf736e36a87937de,true
src-prj-2d1c48bf20584b709d717d3a2ab4ea79,"{""PROJECT"":""Shah Deniz Stage 2 (incl. SCPX)""}",6dea0ba34def255a9bccb1dc83fcbab467ca2c68d42efcf4ee3fc194ff643dd9,5f87c16185bb60a8e84fd061164a33ba3f419a317a85dc400f8f77f4454d72af,true
src-prj-2b94096534b04db0ae7877c136a1726c,"{""PROJECT"":""Shenandoah""}",857ecf4571e48081712d050332f6e4a4cd4c0a105549e451fd833cb63fa5bc53,08106e0c7dd6d0247fb400e6d85d8584149f65aa8c40493637648082167efd2e,true
src-prj-e221c3b874ac4a778c52b09c218a9881,"{""PROJECT"":""Shenzi North""}",a484bc26747f2554755f6458c9c4e6e2af87ff9b5a42d0e12f47dcf49251d28b,9926bbd47fb63ba3b3eb9433ed7e7c8e7188fe3f203f862260193ad6bca4b0a8,true
src-prj-309cad1dcc044ddea3932416ecc2283f,"{""PROJECT"":""Shenzi""}",e8ae9ae57a28570ac0947c62465d99928a01e4b276737de76e61918efa0bcfa9,a65e0b99c6427bb5b7b553a7365250dcf725b01c6f1b182b57637aa929df7faa,true
src-prj-8bfd70ac9e624a5c96b461ffda93ff3e,"{""PROJECT"":""Sparta (formerly North Platte)""}",d21dad7c96c76e28b7b4e0b2fe66c3de0e213b24a46624a6de65d22ff1e6f888,90c237cab1654c055a42a202f5e915aed01f91408d4c6eeb6f449b51cf65d0c2,true
src-prj-19da8fd445fd4d6b9b51461bd27d609c,"{""PROJECT"":""Stampede""}",bcc4a9627a79a86de9c236dff4b920517eed5fab51aee6f037df81ab3d690618,0fbb2dcaec48976c6ec9fccbbc965a4005872c4dc1b2222a1b14a1f9b15920cd,true
src-prj-49eae37f262c41a2ab33ac4728058967,"{""PROJECT"":""TEN (Tweneboa-Enyenra-Ntomme)""}",91a64796623384bf79e990e7d8954f925904e3a7c9effb71b8090f4705f04e07,2c3467cf204348a43d4cf5075935ca0876e9db883bce1fc296c8c878087180b3,true
src-prj-6464452b4fa44d6d88466aa21eebc19f,"{""PROJECT"":""Tahiti (Phase 1)""}",9354107ae0d17b334a0ee812c1160c153a6d2f6758772e34f4ae1c164ded1f6a,10dd2354399aac91efa1303037c55027b5383f737667b854840a476f7fdc9b32,true
src-prj-0d5e05ec5a7640de85f9014b9ce10a5d,"{""PROJECT"":""Tamar (Phase 1)""}",0621fc86bf2bc82b8f638446dea5c6d636a0180363fc7afc0b4314593dd16384,50087786aca1921af10d2911af5d5ab8783fe297aa8da869af3a890ed204154d,true
src-prj-2f38fbe65d3440ecbd9dd56026c9d41f,"{""PROJECT"":""Tiber-Guadalupe""}",46aec62544ab561d6255779922c22361ee2bec734ca23e03fc76f155f3204936,41fbd4f97dccb6d435b5d4ea8434ae0c1d1424daa6cae840a6375d9e16e9e86d,true
src-prj-83b022fcfa9d4f08ba20c0873f32cd1d,"{""PROJECT"":""Trion""}",5af7e7ad44beff0ee61d6cb0c3ffbf56af105ee8a6af8a39dc6e587c9788452b,5bf9703fe58ecaee6177ccc45e0f9dae19596fa7ae9f47391725261e1c620f18,true
src-prj-3efafba954254fcab8d9de1b3cc3c764,"{""PROJECT"":""Tubular Bells""}",2f72eda121b4307cc85e95c489a3bb6d85ae0f8a288d0ae1bac29d73e6868c55,74fe3d00bb3384b15146353243d001d0a7c461235c22e9dcb798f2b1d06d0187,true
src-prj-2be0928acb1f4fb687ae94e194f0234e,"{""PROJECT"":""Tyra Redevelopment""}",ac58304158dc21ff742a63a8a18b93f881fe24d925ad566247d048a901b6b627,470b3bd1957958c76fc53dcc4b2ecd8999763013e56904a00be86415211199a8,true
src-prj-0f5dce25cef1457586f2922dfdd788d9,"{""PROJECT"":""Uaru""}",4cfaa3f56423e886db040e3af9403f4bfd52cc5f8203a374648e11ad5135f87c,71610371116ab148db1c7bdaf7f0c3f31ee788a300720144d6d4c9cfd103f622,true
src-prj-4af26d4ed78a4a9db01c63995ce488e2,"{""PROJECT"":""Vito""}",c4ea10e493dbad3a81ec2b59326714e4954434e882a00d0ede98d1c2c6984433,aecd96ec2f591a07a8c9ff0cd60232b5c884bd734e5e2a608eba3a346400bbe5,true
src-prj-beec8bcf1e5841dc9ea53c1a250e557c,"{""PROJECT"":""West Nile Delta""}",a21369e5b5c5ad27c2dea265bd9b7d6d543b126d01f7d313bb9fdbd62d638a62,aa00d864ed96965fb99e7d45de0b524add1fe5251d2c50fed1fd84441c5e59e0,true
src-prj-f821e5c8e847417f83e74d7a219847ba,"{""PROJECT"":""Whale""}",f928831d021fffc3b7637a5da10d045104bfce22d452b8b20f7f459ee5af10a9,29a89f7ac36fedf8a18fa4119a38c153e2deb7ac4d543d0f4f30c17c885ae811,true
src-prj-1d053b92c1534287bdee4fb0cbef29ac,"{""PROJECT"":""Wheatstone (incl. Iago)""}",6bc252242f5924c2b9125fd81064192469e543c47190c023920e2298376eda52,951d58e6326169e70c94d4d9df030f686edc7fb46779874346d1c9f2f7cc25b7,true
src-prj-dc6d22fabf9c48779c43d9922321d959,"{""PROJECT"":""Whiptail""}",91b8fb5b2505dddbefa46f7e7ba8193c51a3550c404b3d7fe236233ee2d41264,2bd9f57570f27519f61574826fe8839c64d58bc416a57e0e66662d220cebc872,true
src-prj-e6567f82bf154d6e9f898261e1ce985f,"{""PROJECT"":""Yellowtail""}",1cce5cd15b24f8e379d2eaeb1e5325c9ecbf4005b41adc7fa46aa63341767d6a,0de7b134b79cfa1720c5b25ec602220488de92d7a1b74ac3e35904abbdb386d9,true
src-prj-2f7a02b1658c4659902293322c2ac947,"{""PROJECT"":""Zinia Phase 2""}",20bac03e2dc5c41eab18da622f260e6c0d3a1ff0fdc08eb3dc214b9e2c9b6a75,ad376df04ef2f874d49c97e7224e6845d6b11dbea8ed712ddead41d1123080ff,true
