award_id,source_award_key,project_id,display_label,state,active,aliases_json,validation_group_id,created_source_sha256,migration_note,no_reuse
awd-6d7278ec4d0f49c9884279d0309bc9f2,src-awd-cde3599df2f342d4b5c14165b5f1aa07,prj-0aa08a802d274708b7a0dbc99f7554a4,Culzean / 2015 / Subsea 7,active,true,[],vg-prj-4ccd8e0e190a403ca47422eba17cc231,9166c5d83825f33292171eccb6da06841944e7431353ed91a9c720cdd17dadeb,,true
awd-17c35aca298a4ec3b3fb08462c88d0f1,src-awd-17210a67e6784134a189c28bfa4c56b5,prj-0aa08a802d274708b7a0dbc99f7554a4,Culzean / 2016 / Maersk Drilling (Highlander jack-up),active,true,[],vg-prj-4ccd8e0e190a403ca47422eba17cc231,68b325be2de2749a2cda529529e350c413005dd112bf83afbb855aa901203ecc,,true
awd-10cf9382d98348518677a61fb969f906,src-awd-2e712e98211f4f3e9be2247b864323c4,prj-0aa08a802d274708b7a0dbc99f7554a4,Culzean / 2015 / Heerema Fabrication,active,true,[],vg-prj-4ccd8e0e190a403ca47422eba17cc231,40e4a61655e7a3b8db36204ae3524da18ef9e390aefd41e57209c2034ea2ff97,,true
awd-e7b0899f1cdf47f0beb5f365013fa4b4,src-awd-289e004714564cd49bdb3705f9221ab4,prj-96093434d33a4fca8d3e179c9ef35dc5,Kraken / 2013 / Bumi Armada,active,true,[],vg-prj-0f1ff09e3c24410991d37aba3bc50807,c69ecf6a1f8812e6838de0de4af7e8786d45c05dea6280d5fd9b48916e6a40fc,,true
awd-9bbac92f9aeb4cffb63cea25fe497dce,src-awd-5692d007a8bd42e0a411d8dba4b965ae,prj-96093434d33a4fca8d3e179c9ef35dc5,Kraken / 2014 / Technip,active,true,[],vg-prj-0f1ff09e3c24410991d37aba3bc50807,4c9dcbaa194837ae5065f7bc3084003749eb70829e1d3c4555257549fba03e7b,,true
awd-026e527d744b41e5b47fb482e865f76f,src-awd-db5be8e6450146a0864bd05685b9e7e1,prj-96093434d33a4fca8d3e179c9ef35dc5,Kraken / 2013 / SPX,active,true,[],vg-prj-0f1ff09e3c24410991d37aba3bc50807,eba540f3b911dc539dad53774b994d2cfa6d92ecd1b820ecdc657a320d4cf044,,true
awd-be250a152193488285ed1f7c2b6f6af7,src-awd-8c8c6feb11d0436b9f5ca25dff26c0d2,prj-dc45789f2f2a4ef8873d0e8d3c4a5b88,Rosebank Phase 1 / 2023 / TechnipFMC,active,true,[],vg-prj-1f9bdee70fc749598f8b5e94d3341551,d8612e489d0203fc525414d7ebbdbf0d5100c608d2eb48f32509d77ccd5d0476,,true
awd-7daab1d3a5534f3697cd61d5b84de8e9,src-awd-c6e841ace8174242a85d9649d49c538c,prj-dc45789f2f2a4ef8873d0e8d3c4a5b88,Rosebank Phase 1 / 2023 / Odfjell Drilling (Deepsea Atlantic),active,true,[],vg-prj-1f9bdee70fc749598f8b5e94d3341551,95675a071b023cf2e8bf6b2330a66db0841986dbcd374b1c0a3f7d98e57ed7c2,,true
awd-154896ca4e0b453cbea5ae150de621ac,src-awd-9cee06eec7fe440b9ed88a55653d6e1f,prj-dc45789f2f2a4ef8873d0e8d3c4a5b88,Rosebank Phase 1 / 2023 / Aker Solutions (JV Drydocks World Dubai),active,true,[],vg-prj-1f9bdee70fc749598f8b5e94d3341551,3c272bf6ab4611efd1181c69799607483543fa7eddb564d2f5a77d55fb60b304,,true
awd-4e76ed9f52ab4301a634ed37401d4801,src-awd-2ef5f80fd09248929f6d33fa795a7a1f,prj-b6735396905342d8b3b4ab5702ecd012,Jack/St. Malo (initial phase) / 2010 / Cameron (OneSubsea),active,true,[],vg-prj-2ca65adacb6f48519cd0c99b9acd3c7d,8b8eb053b9291864954957ae45ac443ff8d5a391c01f25f307f8fae0e34c258b,,true
awd-24e61e4a637840749d3a40844805c5a8,src-awd-30b5f6097925410dab79f78c893c4e91,prj-b6735396905342d8b3b4ab5702ecd012,Jack/St. Malo (initial phase) / 2011 / Samsung Heavy Industries,active,true,[],vg-prj-2ca65adacb6f48519cd0c99b9acd3c7d,9098ec9f10234924dae3cecb4c9758752bae8ea6718687be2e5bea0008776722,,true
awd-3702b127b14a43599c28f2fac1d22c19,src-awd-a6b46f3ca49648df80cb3f333028f22b,prj-b6735396905342d8b3b4ab5702ecd012,Jack/St. Malo (initial phase) / 2011 / Technip,active,true,[],vg-prj-2ca65adacb6f48519cd0c99b9acd3c7d,c7da2dd5210361246cd098dcebad434701537f8a15457b530b0c1ce47aa36259,,true
awd-aab53959cf45437791538bfd3fb16c06,src-awd-565a0f6948f74542865262e152ef451c,prj-b54ce47ca0c94309a7d17cdc03745899,Stampede / 2014 / FMC Technologies,active,true,[],vg-prj-26d6dc4039434ee788b92c7892badefc,4ac04f5769b2b7f3a67b5e3e2e9eb6dd1514a228ac7c697ea544918ecfe0fb7a,,true
awd-d6bcb8ef065a402f8cf0de14a63e32f2,src-awd-1d78933dd6134cccbd0a89e94a53c01d,prj-b54ce47ca0c94309a7d17cdc03745899,Stampede / 2014 / Subsea 7,active,true,[],vg-prj-26d6dc4039434ee788b92c7892badefc,a31cc215e1bd33bc71e415078814d7d15f15ec7cd151f109a7572a9bffb2549a,,true
awd-1b9c5e8dc56042c89b8faaf22b35a2fd,src-awd-6991089500db4980b6177443d34d11dc,prj-b54ce47ca0c94309a7d17cdc03745899,Stampede / 2013 / Diamond Offshore (BlackLion + BlackRhino),active,true,[],vg-prj-26d6dc4039434ee788b92c7892badefc,b4f2041835a402e0ef9170a91caf2fba6c602e21947f1ba76d55a7fb80d7bde2,,true
awd-d5ac456aa7154e83ac1b3e9638da550a,src-awd-09a1ca4c5aea4b0989e39e2db9852fa8,prj-6e5397dcebef403db9626adcc021fde2,Shenzi / 2007 / Technip,active,true,[],vg-prj-6494a4aaeda94fc7935547230474aaa4,fba3739a0a34e573ff489145bbb5e754f8a9fe03e578023d7e21a604597e0ab5,,true
awd-000001,src-awd-000001,prj-000001,Big Foot / 2011 / GE Oil & Gas,active,true,[],vg-cost-map-pilot-000001,e78c96bc0eb79a0856af6d8531e5c9c7d9750dc6c30b123c9a92cd61c14a79fa,,true
awd-000002,src-awd-000002,prj-000001,Big Foot / 2009 / Enbridge,active,true,[],vg-cost-map-pilot-000001,a90a45569b2c6cf40edd108dc5cd84222393bd6ed578a66fa71c863145880fa3,,true
awd-7715e2a215bf41e3ac46bf6fc746d7eb,src-awd-3ee7ce7d55334009911f94fcfc4b5c1a,prj-2d92af9381ea48b89e3741619f543360,Tiber-Guadalupe / 2025 / TechnipFMC,active,true,[],vg-prj-4b3a3128ad014890811d53c34c0700f9,1f018d6a16039a8ef70ec00ebf55a82a8e09c0f95460ad80f2c1c10e7db9d7e5,,true
awd-963938e3e3834692b39095004d3e0daa,src-awd-630a342c089743818b1d338b0fb8253c,prj-2d92af9381ea48b89e3741619f543360,Tiber-Guadalupe / 2025 / Seatrium,active,true,[],vg-prj-4b3a3128ad014890811d53c34c0700f9,d34d84d6cbc015a1dabb33143535369b123bbc760f0870eedd55b4b171eaae0b,,true
